meta	busco_score	complete_single	complete_duplicated
Drosophila_athabasca	C:98.0%[S:96.3%,D:1.7%],F:0.8%,M:1.2%,n:5067	96.30%	1.70%
Drosophila_lowei	C:95.0%[S:93.3%,D:1.7%],F:1.9%,M:3.2%,n:5067	93.30%	1.70%
Liriomyza_trifolii	C:89.1%[S:87.4%,D:1.7%],F:2.8%,M:8.1%,n:5067	87.40%	1.70%
Propsilocerus_akamusi	C:84.0%[S:82.3%,D:1.7%],F:5.4%,M:10.6%,n:5067	82.30%	1.70%
Aphidoletes_aphidimyza	C:91.3%[S:89.7%,D:1.6%],F:1.7%,M:7.0%,n:5067	89.70%	1.60%
Drosophila_willistoni	C:98.3%[S:96.7%,D:1.6%],F:0.9%,M:0.8%,n:5067	96.70%	1.60%
Smittia_aterrima	C:83.5%[S:81.9%,D:1.6%],F:5.3%,M:11.2%,n:5067	81.90%	1.60%
Tipula_scripta	C:92.6%[S:91.1%,D:1.6%],F:3.9%,M:3.5%,n:5067	91.10%	1.60%
Anopheles_funestus-like	C:94.3%[S:92.8%,D:1.5%],F:2.1%,M:3.6%,n:5067	92.80%	1.50%
Baccha_elongata	C:97.9%[S:96.4%,D:1.5%],F:0.8%,M:1.3%,n:5067	96.40%	1.50%
Culicoides_brevitarsis	C:82.6%[S:81.1%,D:1.5%],F:5.5%,M:11.9%,n:5067	81.10%	1.50%
Drosophila_teissieri	C:98.5%[S:97.0%,D:1.5%],F:0.8%,M:0.7%,n:5067	97.00%	1.50%
Eurosta_solidaginis	C:96.7%[S:95.2%,D:1.5%],F:1.5%,M:1.8%,n:5067	95.20%	1.50%
Machimus_atricapillus	C:96.0%[S:94.5%,D:1.5%],F:2.6%,M:1.4%,n:5067	94.50%	1.50%
Rhingia_campestris	C:98.1%[S:96.6%,D:1.5%],F:1.0%,M:0.9%,n:5067	96.60%	1.50%
Tipula_helvola	C:92.6%[S:91.2%,D:1.5%],F:4.2%,M:3.2%,n:5067	91.20%	1.50%
Azelia_nebulosa	C:98.8%[S:97.4%,D:1.4%],F:0.5%,M:0.7%,n:5067	97.40%	1.40%
Drosophila_triauraria	C:90.8%[S:89.4%,D:1.4%],F:2.9%,M:6.3%,n:5067	89.40%	1.40%
Malaya_genurostris	C:95.7%[S:94.3%,D:1.4%],F:1.3%,M:3.0%,n:5067	94.30%	1.40%
Melanostoma_mellinum	C:97.4%[S:96.0%,D:1.4%],F:1.0%,M:1.5%,n:5067	96.00%	1.40%
Melanostoma_scalare	C:97.5%[S:96.1%,D:1.4%],F:1.0%,M:1.5%,n:5067	96.10%	1.40%
Platycheirus_albimanus	C:96.6%[S:95.2%,D:1.4%],F:1.0%,M:2.3%,n:5067	95.20%	1.40%
Polietes_lardarius	C:98.6%[S:97.2%,D:1.4%],F:0.5%,M:0.9%,n:5067	97.20%	1.40%
Polypedilum_vanderplanki	C:82.1%[S:80.7%,D:1.4%],F:6.6%,M:11.2%,n:5067	80.70%	1.40%
Argyra_leucocephala	C:94.0%[S:92.7%,D:1.3%],F:1.7%,M:4.3%,n:5067	92.70%	1.30%
Brachypalpus_laphriformis	C:98.1%[S:96.8%,D:1.3%],F:0.9%,M:1.0%,n:5067	96.80%	1.30%
Drosophila_kepulauana	C:98.6%[S:97.4%,D:1.3%],F:0.7%,M:0.6%,n:5067	97.40%	1.30%
Megaselia_abdita	C:88.2%[S:86.9%,D:1.3%],F:4.5%,M:7.3%,n:5067	86.90%	1.30%
Meiosimyza_platycephala	C:98.5%[S:97.2%,D:1.3%],F:0.7%,M:0.7%,n:5067	97.20%	1.30%
Pegoplata_infirma	C:99.1%[S:97.8%,D:1.3%],F:0.2%,M:0.7%,n:5067	97.80%	1.30%
Phaonia_angelicae	C:98.9%[S:97.6%,D:1.3%],F:0.5%,M:0.6%,n:5067	97.60%	1.30%
Tipula_fascipennis	C:92.7%[S:91.4%,D:1.3%],F:3.9%,M:3.4%,n:5067	91.40%	1.30%
Tipula_vernalis	C:92.4%[S:91.1%,D:1.3%],F:4.1%,M:3.5%,n:5067	91.10%	1.30%
Tricholauxania_praeusta	C:98.8%[S:97.5%,D:1.3%],F:0.6%,M:0.6%,n:5067	97.50%	1.30%
Clusia_tigrina	C:97.0%[S:95.8%,D:1.2%],F:1.5%,M:1.5%,n:5067	95.80%	1.20%
Cordilura_impudica	C:98.9%[S:97.6%,D:1.2%],F:0.7%,M:0.5%,n:5067	97.60%	1.20%
Dolichopus_griseipennis	C:92.4%[S:91.2%,D:1.2%],F:2.1%,M:5.5%,n:5067	91.20%	1.20%
Drosophila_pseudoobscura	C:98.3%[S:97.1%,D:1.2%],F:1.0%,M:0.7%,n:5067	97.10%	1.20%
Drosophila_subpulchrella	C:98.6%[S:97.4%,D:1.2%],F:0.7%,M:0.7%,n:5067	97.40%	1.20%
Leptarthrus_brevirostris	C:95.9%[S:94.6%,D:1.2%],F:2.6%,M:1.5%,n:5067	94.60%	1.20%
Leucophora_obtusa	C:99.1%[S:97.9%,D:1.2%],F:0.4%,M:0.5%,n:5067	97.90%	1.20%
Neurigona_quadrifasciata	C:94.1%[S:92.9%,D:1.2%],F:1.6%,M:4.3%,n:5067	92.90%	1.20%
Rhamphomyia_laevipes	C:93.5%[S:92.3%,D:1.2%],F:2.9%,M:3.6%,n:5067	92.30%	1.20%
Tipula_unca	C:92.5%[S:91.3%,D:1.2%],F:4.0%,M:3.5%,n:5067	91.30%	1.20%
Trigonometopus_frontalis	C:97.9%[S:96.8%,D:1.2%],F:1.1%,M:0.9%,n:5067	96.80%	1.20%
Volucella_zonaria	C:91.5%[S:90.3%,D:1.2%],F:0.9%,M:7.6%,n:5067	90.30%	1.20%
Anastrepha_obliqua	C:98.7%[S:97.6%,D:1.1%],F:0.6%,M:0.7%,n:5067	97.60%	1.10%
Bactrocera_correcta	C:92.2%[S:91.1%,D:1.1%],F:1.8%,M:6.0%,n:5067	91.10%	1.10%
Bombylius_major	C:93.0%[S:91.9%,D:1.1%],F:3.6%,M:3.4%,n:5067	91.90%	1.10%
Calliopum_simillimum	C:98.1%[S:97.0%,D:1.1%],F:1.0%,M:0.9%,n:5067	97.00%	1.10%
Chrysotoxum_festivum	C:98.0%[S:96.9%,D:1.1%],F:0.6%,M:1.4%,n:5067	96.90%	1.10%
Chymomyza_fuscimana	C:98.7%[S:97.5%,D:1.1%],F:0.6%,M:0.7%,n:5067	97.50%	1.10%
Drosophila_obscura	C:97.9%[S:96.8%,D:1.1%],F:0.9%,M:1.2%,n:5067	96.80%	1.10%
Drosophila_sulfurigaster	C:97.9%[S:96.8%,D:1.1%],F:1.1%,M:1.0%,n:5067	96.80%	1.10%
Eumerus_sabulonum	C:97.2%[S:96.1%,D:1.1%],F:1.1%,M:1.7%,n:5067	96.10%	1.10%
Meliscaeva_cinctella	C:97.6%[S:96.5%,D:1.1%],F:0.7%,M:1.7%,n:5067	96.50%	1.10%
Nephrotoma_flavescens	C:92.5%[S:91.4%,D:1.1%],F:4.2%,M:3.3%,n:5067	91.40%	1.10%
Odontomyia_ornata	C:93.4%[S:92.4%,D:1.1%],F:2.5%,M:4.0%,n:5067	92.40%	1.10%
Philhelius_pedissequus	C:96.9%[S:95.8%,D:1.1%],F:1.1%,M:2.0%,n:5067	95.80%	1.10%
Phortica_okadai	C:96.2%[S:95.0%,D:1.1%],F:0.8%,M:3.0%,n:5067	95.00%	1.10%
Sabethes_cyaneus	C:96.8%[S:95.7%,D:1.1%],F:0.9%,M:2.3%,n:5067	95.70%	1.10%
Smittia_sp	C:81.9%[S:80.8%,D:1.1%],F:6.1%,M:12.0%,n:5067	80.80%	1.10%
Villa_cingulata	C:92.4%[S:91.3%,D:1.1%],F:3.7%,M:3.9%,n:5067	91.30%	1.10%
Acrocera_orbiculus	C:90.7%[S:89.6%,D:1.0%],F:4.6%,M:4.7%,n:5067	89.60%	1.00%
Anopheles_bellator	C:93.5%[S:92.5%,D:1.0%],F:2.3%,M:4.2%,n:5067	92.50%	1.00%
Chrysotoxum_bicinctum	C:98.1%[S:97.1%,D:1.0%],F:0.6%,M:1.3%,n:5067	97.10%	1.00%
Drosophila_ananassae	C:98.5%[S:97.5%,D:1.0%],F:0.7%,M:0.7%,n:5067	97.50%	1.00%
Drosophila_gunungcola	C:97.1%[S:96.1%,D:1.0%],F:1.6%,M:1.3%,n:5067	96.10%	1.00%
Drosophila_histrio	C:98.3%[S:97.2%,D:1.0%],F:0.8%,M:1.0%,n:5067	97.20%	1.00%
Drosophila_immigrans	C:98.6%[S:97.6%,D:1.0%],F:0.7%,M:0.7%,n:5067	97.60%	1.00%
Drosophila_limbata	C:97.3%[S:96.3%,D:1.0%],F:0.8%,M:2.0%,n:5067	96.30%	1.00%
Drosophila_madeirensis	C:98.3%[S:97.3%,D:1.0%],F:0.9%,M:0.8%,n:5067	97.30%	1.00%
Drosophila_pallidifrons	C:97.1%[S:96.1%,D:1.0%],F:1.8%,M:1.2%,n:5067	96.10%	1.00%
Drosophila_phalerata	C:98.8%[S:97.7%,D:1.0%],F:0.8%,M:0.4%,n:5067	97.70%	1.00%
Empis_stercorea	C:93.7%[S:92.7%,D:1.0%],F:2.8%,M:3.6%,n:5067	92.70%	1.00%
Eupeodes_latifasciatus	C:97.7%[S:96.6%,D:1.0%],F:0.9%,M:1.4%,n:5067	96.60%	1.00%
Geomyza_tripunctata	C:97.4%[S:96.3%,D:1.0%],F:1.4%,M:1.2%,n:5067	96.30%	1.00%
Leptogaster_cylindrica	C:94.1%[S:93.1%,D:1.0%],F:3.1%,M:2.8%,n:5067	93.10%	1.00%
Lonchoptera_lutea	C:94.7%[S:93.6%,D:1.0%],F:2.5%,M:2.8%,n:5067	93.60%	1.00%
Nephrotoma_appendiculata	C:92.6%[S:91.6%,D:1.0%],F:3.9%,M:3.5%,n:5067	91.60%	1.00%
Ornithomya_avicularia	C:96.9%[S:96.0%,D:1.0%],F:1.1%,M:1.9%,n:5067	96.00%	1.00%
Phaonia_tiefii	C:98.9%[S:97.8%,D:1.0%],F:0.5%,M:0.7%,n:5067	97.80%	1.00%
Pherbina_coryleti	C:97.8%[S:96.8%,D:1.0%],F:1.0%,M:1.1%,n:5067	96.80%	1.00%
Portevinia_maculata	C:97.9%[S:96.9%,D:1.0%],F:1.0%,M:1.1%,n:5067	96.90%	1.00%
Sylvicola_cinctus	C:88.4%[S:87.5%,D:1.0%],F:4.7%,M:6.9%,n:5067	87.50%	1.00%
Anopheles_coustani	C:94.7%[S:93.7%,D:0.9%],F:1.7%,M:3.7%,n:5067	93.70%	0.90%
Anopheles_ziemanni	C:94.7%[S:93.7%,D:0.9%],F:1.7%,M:3.7%,n:5067	93.70%	0.90%
Coremacera_marginata	C:97.7%[S:96.8%,D:0.9%],F:1.1%,M:1.2%,n:5067	96.80%	0.90%
Culex_laticinctus	C:95.0%[S:94.0%,D:0.9%],F:1.6%,M:3.4%,n:5067	94.00%	0.90%
Dexiosoma_caninum	C:98.9%[S:98.0%,D:0.9%],F:0.4%,M:0.8%,n:5067	98.00%	0.90%
Drosophila_albomicans	C:98.3%[S:97.4%,D:0.9%],F:1.0%,M:0.7%,n:5067	97.40%	0.90%
Drosophila_bifasciata	C:92.4%[S:91.5%,D:0.9%],F:2.0%,M:5.5%,n:5067	91.50%	0.90%
Drosophila_busckii	C:96.4%[S:95.5%,D:0.9%],F:1.3%,M:2.3%,n:5067	95.50%	0.90%
Drosophila_funebris	C:98.3%[S:97.4%,D:0.9%],F:0.8%,M:0.9%,n:5067	97.40%	0.90%
Drosophila_subobscura	C:97.8%[S:96.9%,D:0.9%],F:1.3%,M:0.9%,n:5067	96.90%	0.90%
Melangyna_quadrimaculata	C:97.3%[S:96.4%,D:0.9%],F:1.0%,M:1.6%,n:5067	96.40%	0.90%
Ornithomya_fringillina	C:96.9%[S:96.0%,D:0.9%],F:1.1%,M:2.0%,n:5067	96.00%	0.90%
Phlebotomus_papatasi	C:93.1%[S:92.2%,D:0.9%],F:2.2%,M:4.7%,n:5067	92.20%	0.90%
Platycheirus_rosarum	C:96.5%[S:95.6%,D:0.9%],F:1.1%,M:2.4%,n:5067	95.60%	0.90%
Sarcophaga_caerulescens	C:99.2%[S:98.3%,D:0.9%],F:0.4%,M:0.4%,n:5067	98.30%	0.90%
Thereva_unica	C:95.5%[S:94.6%,D:0.9%],F:2.4%,M:2.1%,n:5067	94.60%	0.90%
Tipula_confusa	C:91.3%[S:90.4%,D:0.9%],F:4.4%,M:4.4%,n:5067	90.40%	0.90%
Tipula_lateralis	C:92.9%[S:92.0%,D:0.9%],F:3.8%,M:3.3%,n:5067	92.00%	0.90%
Toxonevra_muliebris	C:98.6%[S:97.8%,D:0.9%],F:0.7%,M:0.7%,n:5067	97.80%	0.90%
Toxorhynchites_rutilus	C:95.8%[S:94.9%,D:0.9%],F:1.2%,M:3.0%,n:5067	94.90%	0.90%
Zeugodacus_tau	C:98.8%[S:97.9%,D:0.9%],F:0.4%,M:0.8%,n:5067	97.90%	0.90%
Anopheles_maculipalpis	C:95.2%[S:94.4%,D:0.8%],F:1.4%,M:3.4%,n:5067	94.40%	0.80%
Anopheles_squamosus	C:94.3%[S:93.4%,D:0.8%],F:1.6%,M:4.1%,n:5067	93.40%	0.80%
Anthrax_anthrax	C:94.0%[S:93.2%,D:0.8%],F:3.0%,M:3.0%,n:5067	93.20%	0.80%
Bactrocera_tryoni	C:98.7%[S:97.9%,D:0.8%],F:0.7%,M:0.6%,n:5067	97.90%	0.80%
Bellardia_pandia	C:99.3%[S:98.5%,D:0.8%],F:0.3%,M:0.4%,n:5067	98.50%	0.80%
Chorisops_tibialis	C:97.0%[S:96.2%,D:0.8%],F:1.8%,M:1.2%,n:5067	96.20%	0.80%
Dioctria_rufipes	C:96.1%[S:95.2%,D:0.8%],F:2.5%,M:1.4%,n:5067	95.20%	0.80%
Dolichopus_virgultorum	C:93.4%[S:92.5%,D:0.8%],F:1.7%,M:4.9%,n:5067	92.50%	0.80%
Drosophila_biarmipes	C:98.5%[S:97.8%,D:0.8%],F:0.8%,M:0.6%,n:5067	97.80%	0.80%
Drosophila_innubila	C:98.4%[S:97.6%,D:0.8%],F:0.8%,M:0.8%,n:5067	97.60%	0.80%
Drosophila_nasuta	C:97.8%[S:96.9%,D:0.8%],F:1.4%,M:0.9%,n:5067	96.90%	0.80%
Drosophila_sechellia	C:98.7%[S:97.8%,D:0.8%],F:0.7%,M:0.7%,n:5067	97.80%	0.80%
Drosophila_suzukii	C:97.8%[S:97.0%,D:0.8%],F:0.7%,M:1.5%,n:5067	97.00%	0.80%
Episyrphus_balteatus	C:98.2%[S:97.4%,D:0.8%],F:0.7%,M:1.0%,n:5067	97.40%	0.80%
Eustalomyia_histrio	C:98.1%[S:97.2%,D:0.8%],F:0.6%,M:1.3%,n:5067	97.20%	0.80%
Hydrotaea_diabolus	C:99.0%[S:98.2%,D:0.8%],F:0.6%,M:0.5%,n:5067	98.20%	0.80%
Merodon_equestris	C:97.1%[S:96.3%,D:0.8%],F:1.4%,M:1.5%,n:5067	96.30%	0.80%
