meta	busco_score	complete_single	complete_duplicated
Cheilosia_vernalis	C:98.2%[S:97.6%,D:0.6%],F:1.0%,M:0.8%,n:5067	97.60%	0.60%
Chloromyia_formosa	C:96.3%[S:95.6%,D:0.6%],F:1.9%,M:1.8%,n:5067	95.60%	0.60%
Culex_quinquefasciatus	C:91.5%[S:90.9%,D:0.6%],F:2.0%,M:6.5%,n:5067	90.90%	0.60%
Hermetia_illucens	C:96.5%[S:96.0%,D:0.6%],F:1.7%,M:1.7%,n:5067	96.00%	0.60%
Leucozona_laternaria	C:97.7%[S:97.1%,D:0.6%],F:0.8%,M:1.5%,n:5067	97.10%	0.60%
Melanophora_roralis	C:98.9%[S:98.4%,D:0.6%],F:0.5%,M:0.6%,n:5067	98.40%	0.60%
Microchrysa_polita	C:96.3%[S:95.7%,D:0.6%],F:1.9%,M:1.8%,n:5067	95.70%	0.60%
Minettia_fasciata	C:98.5%[S:97.9%,D:0.6%],F:0.9%,M:0.5%,n:5067	97.90%	0.60%
Myopa_tessellatipennis	C:96.8%[S:96.3%,D:0.6%],F:1.2%,M:2.0%,n:5067	96.30%	0.60%
Neoascia_interrupta	C:98.1%[S:97.4%,D:0.6%],F:0.8%,M:1.1%,n:5067	97.40%	0.60%
Orthonevra_brevicornis	C:97.8%[S:97.2%,D:0.6%],F:1.0%,M:1.2%,n:5067	97.20%	0.60%
Oxycera_nigricornis	C:93.5%[S:93.0%,D:0.6%],F:2.5%,M:3.9%,n:5067	93.00%	0.60%
Palloptera_scutellata	C:98.6%[S:98.0%,D:0.6%],F:0.7%,M:0.7%,n:5067	98.00%	0.60%
Pedicia_rivosa	C:91.1%[S:90.4%,D:0.6%],F:4.4%,M:4.5%,n:5067	90.40%	0.60%
Pollenia_amentaria	C:99.2%[S:98.6%,D:0.6%],F:0.5%,M:0.3%,n:5067	98.60%	0.60%
Rhingia_rostrata	C:98.3%[S:97.7%,D:0.6%],F:0.6%,M:1.1%,n:5067	97.70%	0.60%
Sarcophaga_carnaria	C:98.9%[S:98.3%,D:0.6%],F:0.3%,M:0.8%,n:5067	98.30%	0.60%
Sericomyia_silentis	C:98.2%[S:97.6%,D:0.6%],F:0.8%,M:0.9%,n:5067	97.60%	0.60%
Suillia_variegata	C:98.8%[S:98.2%,D:0.6%],F:0.8%,M:0.4%,n:5067	98.20%	0.60%
Tetanocera_ferruginea	C:97.8%[S:97.2%,D:0.6%],F:1.3%,M:0.9%,n:5067	97.20%	0.60%
Urophora_cardui	C:96.5%[S:95.9%,D:0.6%],F:1.3%,M:2.2%,n:5067	95.90%	0.60%
Anopheles_albimanus	C:92.9%[S:92.4%,D:0.5%],F:2.2%,M:4.9%,n:5067	92.40%	0.50%
Anopheles_arabiensis	C:94.1%[S:93.6%,D:0.5%],F:2.1%,M:3.8%,n:5067	93.60%	0.50%
Anopheles_funestus	C:95.6%[S:95.0%,D:0.5%],F:1.3%,M:3.2%,n:5067	95.00%	0.50%
Anopheles_gambia	C:94.9%[S:94.4%,D:0.5%],F:1.7%,M:3.5%,n:5067	94.40%	0.50%
Anopheles_nili	C:94.2%[S:93.7%,D:0.5%],F:1.8%,M:4.0%,n:5067	93.70%	0.50%
Bactrocera_dorsalis	C:97.8%[S:97.3%,D:0.5%],F:1.3%,M:0.9%,n:5067	97.30%	0.50%
Bactrocera_neohumeralis	C:98.2%[S:97.6%,D:0.5%],F:0.8%,M:1.0%,n:5067	97.60%	0.50%
Beris_morrisii	C:97.2%[S:96.6%,D:0.5%],F:1.7%,M:1.2%,n:5067	96.60%	0.50%
Cheilosia_scutellata	C:98.1%[S:97.6%,D:0.5%],F:0.9%,M:1.0%,n:5067	97.60%	0.50%
Dasysyrphus_albostriatus	C:98.3%[S:97.8%,D:0.5%],F:0.6%,M:1.1%,n:5067	97.80%	0.50%
Dryomyza_anilis	C:98.0%[S:97.6%,D:0.5%],F:1.1%,M:0.9%,n:5067	97.60%	0.50%
Epistrophe_eligans	C:98.5%[S:98.1%,D:0.5%],F:0.5%,M:1.0%,n:5067	98.10%	0.50%
Eristalis_arbustorum	C:97.6%[S:97.1%,D:0.5%],F:1.1%,M:1.3%,n:5067	97.10%	0.50%
Eristalis_pertinax	C:97.5%[S:97.0%,D:0.5%],F:1.3%,M:1.1%,n:5067	97.00%	0.50%
Eristalis_tenax	C:97.6%[S:97.1%,D:0.5%],F:1.2%,M:1.3%,n:5067	97.10%	0.50%
Germaria_angustata	C:98.9%[S:98.3%,D:0.5%],F:0.5%,M:0.7%,n:5067	98.30%	0.50%
Heteromyza_rotundicornis	C:98.3%[S:97.8%,D:0.5%],F:1.0%,M:0.7%,n:5067	97.80%	0.50%
Hydrotaea_cyrtoneurina	C:99.0%[S:98.5%,D:0.5%],F:0.5%,M:0.5%,n:5067	98.50%	0.50%
Lucilia_cuprina	C:95.1%[S:94.7%,D:0.5%],F:2.9%,M:2.0%,n:5067	94.70%	0.50%
Lutzomyia_longipalpis	C:93.8%[S:93.4%,D:0.5%],F:2.2%,M:3.9%,n:5067	93.40%	0.50%
Lypha_dubia	C:98.9%[S:98.3%,D:0.5%],F:0.5%,M:0.7%,n:5067	98.30%	0.50%
Machimus_rusticus	C:95.7%[S:95.2%,D:0.5%],F:3.0%,M:1.3%,n:5067	95.20%	0.50%
Meiosimyza_decipiens	C:98.8%[S:98.3%,D:0.5%],F:0.7%,M:0.4%,n:5067	98.30%	0.50%
Melieria_omissa	C:98.0%[S:97.5%,D:0.5%],F:0.9%,M:1.1%,n:5067	97.50%	0.50%
Meliscaeva_auricollis	C:98.1%[S:97.6%,D:0.5%],F:0.8%,M:1.1%,n:5067	97.60%	0.50%
Nephrocerus_scutellatus	C:96.9%[S:96.4%,D:0.5%],F:1.6%,M:1.5%,n:5067	96.40%	0.50%
Neria_commutata	C:98.3%[S:97.8%,D:0.5%],F:1.0%,M:0.7%,n:5067	97.80%	0.50%
Oxycera_pygmaea	C:94.2%[S:93.7%,D:0.5%],F:2.2%,M:3.6%,n:5067	93.70%	0.50%
Phasia_obesa	C:98.5%[S:98.0%,D:0.5%],F:0.7%,M:0.9%,n:5067	98.00%	0.50%
Pollenia_griseotomentosa	C:99.2%[S:98.7%,D:0.5%],F:0.5%,M:0.3%,n:5067	98.70%	0.50%
Ptychoptera_albimana	C:90.2%[S:89.7%,D:0.5%],F:4.8%,M:5.0%,n:5067	89.70%	0.50%
Sarcophaga_subvicina	C:99.4%[S:99.0%,D:0.5%],F:0.2%,M:0.4%,n:5067	99.00%	0.50%
Sarcophaga_variegata	C:99.1%[S:98.7%,D:0.5%],F:0.4%,M:0.5%,n:5067	98.70%	0.50%
Syrphus_vitripennis	C:98.0%[S:97.5%,D:0.5%],F:0.8%,M:1.2%,n:5067	97.50%	0.50%
Thereva_nobilitata	C:95.4%[S:94.9%,D:0.5%],F:2.4%,M:2.1%,n:5067	94.90%	0.50%
Xylota_segnis	C:98.4%[S:97.9%,D:0.5%],F:0.8%,M:0.8%,n:5067	97.90%	0.50%
Zeugodacus_cucurbitae	C:98.6%[S:98.2%,D:0.5%],F:0.6%,M:0.7%,n:5067	98.20%	0.50%
Anopheles_coluzzii	C:94.3%[S:93.9%,D:0.4%],F:1.6%,M:4.0%,n:5067	93.90%	0.40%
Atherix_ibis	C:92.0%[S:91.6%,D:0.4%],F:3.3%,M:4.7%,n:5067	91.60%	0.40%
Blera_fallax	C:98.3%[S:97.9%,D:0.4%],F:0.7%,M:1.0%,n:5067	97.90%	0.40%
Chalcosyrphus_nemorum	C:98.3%[S:98.0%,D:0.4%],F:0.7%,M:0.9%,n:5067	98.00%	0.40%
Cheilosia_pagana	C:98.1%[S:97.7%,D:0.4%],F:0.9%,M:1.0%,n:5067	97.70%	0.40%
Cheilosia_soror	C:97.4%[S:97.0%,D:0.4%],F:1.0%,M:1.6%,n:5067	97.00%	0.40%
Cheilosia_variabilis	C:97.0%[S:96.6%,D:0.4%],F:1.0%,M:2.0%,n:5067	96.60%	0.40%
Cheilosia_vulpina	C:98.3%[S:97.8%,D:0.4%],F:0.8%,M:0.9%,n:5067	97.80%	0.40%
Chrysops_caecutiens	C:90.6%[S:90.3%,D:0.4%],F:3.7%,M:5.7%,n:5067	90.30%	0.40%
Chrysops_viduatus	C:91.2%[S:90.8%,D:0.4%],F:3.4%,M:5.3%,n:5067	90.80%	0.40%
Crataerina_pallida	C:96.7%[S:96.3%,D:0.4%],F:1.4%,M:2.0%,n:5067	96.30%	0.40%
Criorhina_berberina	C:98.4%[S:98.1%,D:0.4%],F:0.7%,M:0.8%,n:5067	98.10%	0.40%
Criorhina_ranunculi	C:97.9%[S:97.6%,D:0.4%],F:0.9%,M:1.1%,n:5067	97.60%	0.40%
Dilophus_febrilis	C:83.1%[S:82.7%,D:0.4%],F:7.1%,M:9.9%,n:5067	82.70%	0.40%
Eristalinus_aeneus	C:97.8%[S:97.4%,D:0.4%],F:1.0%,M:1.3%,n:5067	97.40%	0.40%
Eristalis_intricaria	C:97.7%[S:97.3%,D:0.4%],F:1.1%,M:1.2%,n:5067	97.30%	0.40%
Ferdinandea_cuprea	C:98.3%[S:97.9%,D:0.4%],F:0.6%,M:1.1%,n:5067	97.90%	0.40%
Gymnocheta_viridis	C:99.2%[S:98.9%,D:0.4%],F:0.3%,M:0.5%,n:5067	98.90%	0.40%
Linnaemya_tessellans	C:98.8%[S:98.3%,D:0.4%],F:0.6%,M:0.6%,n:5067	98.30%	0.40%
Melieria_picta	C:98.1%[S:97.6%,D:0.4%],F:0.8%,M:1.1%,n:5067	97.60%	0.40%
Myathropa_florea	C:97.8%[S:97.4%,D:0.4%],F:1.1%,M:1.1%,n:5067	97.40%	0.40%
Nemopoda_nitidula	C:96.8%[S:96.3%,D:0.4%],F:1.6%,M:1.6%,n:5067	96.30%	0.40%
Neoceratitis_asiatica	C:99.0%[S:98.7%,D:0.4%],F:0.3%,M:0.7%,n:5067	98.70%	0.40%
Nowickia_ferox	C:99.0%[S:98.6%,D:0.4%],F:0.6%,M:0.5%,n:5067	98.60%	0.40%
Orthonevra_nobilis	C:98.1%[S:97.8%,D:0.4%],F:0.8%,M:1.0%,n:5067	97.80%	0.40%
Panzeria_rudis	C:98.5%[S:98.1%,D:0.4%],F:0.6%,M:0.8%,n:5067	98.10%	0.40%
Philonicus_albiceps	C:95.7%[S:95.3%,D:0.4%],F:2.6%,M:1.6%,n:5067	95.30%	0.40%
Physocephala_rufipes	C:91.6%[S:91.2%,D:0.4%],F:2.2%,M:6.3%,n:5067	91.20%	0.40%
Phyto_melanocephala	C:99.2%[S:98.8%,D:0.4%],F:0.4%,M:0.4%,n:5067	98.80%	0.40%
Pollenia_labialis	C:99.2%[S:98.8%,D:0.4%],F:0.4%,M:0.4%,n:5067	98.80%	0.40%
Pollenia_pediculata	C:99.4%[S:99.1%,D:0.4%],F:0.3%,M:0.3%,n:5067	99.10%	0.40%
Ptychoptera_contaminata	C:89.9%[S:89.5%,D:0.4%],F:4.4%,M:5.7%,n:5067	89.50%	0.40%
Scathophaga_stercoraria	C:98.5%[S:98.1%,D:0.4%],F:0.5%,M:1.0%,n:5067	98.10%	0.40%
Sturmia_bella	C:99.1%[S:98.7%,D:0.4%],F:0.5%,M:0.5%,n:5067	98.70%	0.40%
Suillia_affinis	C:98.6%[S:98.3%,D:0.4%],F:0.8%,M:0.5%,n:5067	98.30%	0.40%
Syritta_pipiens	C:98.1%[S:97.7%,D:0.4%],F:1.1%,M:0.9%,n:5067	97.70%	0.40%
Tachina_grossa	C:98.5%[S:98.1%,D:0.4%],F:0.8%,M:0.7%,n:5067	98.10%	0.40%
Tachina_lurida	C:98.5%[S:98.1%,D:0.4%],F:0.7%,M:0.8%,n:5067	98.10%	0.40%
Thecocarcelia_acutangulata	C:98.2%[S:97.7%,D:0.4%],F:0.3%,M:1.5%,n:5067	97.70%	0.40%
Tolmerus_cingulatus	C:95.9%[S:95.5%,D:0.4%],F:2.6%,M:1.5%,n:5067	95.50%	0.40%
Volucella_inflata	C:98.0%[S:97.6%,D:0.4%],F:0.8%,M:1.2%,n:5067	97.60%	0.40%
Xylota_sylvarum	C:98.5%[S:98.1%,D:0.4%],F:0.7%,M:0.8%,n:5067	98.10%	0.40%
Anastrepha_ludens	C:98.6%[S:98.3%,D:0.3%],F:0.7%,M:0.7%,n:5067	98.30%	0.30%
Anomoia_purmunda	C:98.7%[S:98.4%,D:0.3%],F:0.5%,M:0.8%,n:5067	98.40%	0.30%
Bellardia_bayeri	C:99.4%[S:99.1%,D:0.3%],F:0.3%,M:0.3%,n:5067	99.10%	0.30%
Calliphora_vicina	C:99.4%[S:99.2%,D:0.3%],F:0.3%,M:0.3%,n:5067	99.20%	0.30%
Cheilosia_grossa	C:98.1%[S:97.8%,D:0.3%],F:0.9%,M:1.0%,n:5067	97.80%	0.30%
Cheilosia_impressa	C:97.8%[S:97.5%,D:0.3%],F:1.0%,M:1.2%,n:5067	97.50%	0.30%
Chrysopilus_asiliformis	C:94.0%[S:93.7%,D:0.3%],F:3.4%,M:2.6%,n:5067	93.70%	0.30%
Conops_quadrifasciatus	C:96.7%[S:96.4%,D:0.3%],F:1.6%,M:1.8%,n:5067	96.40%	0.30%
Eristalinus_sepulchralis	C:97.6%[S:97.3%,D:0.3%],F:1.2%,M:1.2%,n:5067	97.30%	0.30%
Gymnosoma_rotundatum	C:99.0%[S:98.7%,D:0.3%],F:0.5%,M:0.5%,n:5067	98.70%	0.30%
Linnaemya_vulpina	C:98.3%[S:98.1%,D:0.3%],F:0.7%,M:1.0%,n:5067	98.10%	0.30%
Megamerina_dolium	C:98.1%[S:97.8%,D:0.3%],F:1.0%,M:0.9%,n:5067	97.80%	0.30%
Melieria_crassipennis	C:97.2%[S:96.9%,D:0.3%],F:0.9%,M:1.9%,n:5067	96.90%	0.30%
Protocalliphora_azurea	C:99.1%[S:98.8%,D:0.3%],F:0.5%,M:0.5%,n:5067	98.80%	0.30%
Scaeva_pyrastri	C:98.0%[S:97.6%,D:0.3%],F:0.7%,M:1.3%,n:5067	97.60%	0.30%
Stomorhina_lunata	C:99.2%[S:98.9%,D:0.3%],F:0.3%,M:0.5%,n:5067	98.90%	0.30%
Stratiomys_singularior	C:95.1%[S:94.8%,D:0.3%],F:1.8%,M:3.1%,n:5067	94.80%	0.30%
Tetanops_myopaeformis	C:97.8%[S:97.5%,D:0.3%],F:1.1%,M:1.1%,n:5067	97.50%	0.30%
Thelaira_solivaga	C:99.1%[S:98.7%,D:0.3%],F:0.4%,M:0.6%,n:5067	98.70%	0.30%
Volucella_inanis	C:97.8%[S:97.5%,D:0.3%],F:0.9%,M:1.2%,n:5067	97.50%	0.30%
Xyphosia_miliaria	C:98.2%[S:97.9%,D:0.3%],F:0.9%,M:0.9%,n:5067	97.90%	0.30%
Calliphora_vomitoria	C:99.2%[S:99.0%,D:0.2%],F:0.4%,M:0.4%,n:5067	99.00%	0.20%
Coelopa_pilipes	C:97.8%[S:97.6%,D:0.2%],F:1.2%,M:1.0%,n:5067	97.60%	0.20%
Epicampocera_succincta	C:99.3%[S:99.1%,D:0.2%],F:0.4%,M:0.3%,n:5067	99.10%	0.20%
Orygma_luctuosum	C:97.5%[S:97.3%,D:0.2%],F:1.4%,M:1.0%,n:5067	97.30%	0.20%
Phania_funesta	C:99.2%[S:99.1%,D:0.2%],F:0.4%,M:0.4%,n:5067	99.10%	0.20%
Protophormia_terraenovae	C:99.1%[S:98.9%,D:0.2%],F:0.4%,M:0.5%,n:5067	98.90%	0.20%
Tachina_fera	C:98.6%[S:98.4%,D:0.2%],F:0.8%,M:0.6%,n:5067	98.40%	0.20%
